===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-07-04 21:22:54
count workspace : d:\important\Gear-Of-Fate
total files : 85
total code lines : 8563
total comment lines : 26
total blank lines : 2221

.gitignore, code is 4, comment is 0, blank is 1.
Src\FSM\States\Hero_SwordMan\State_Stay.lua, code is 63, comment is 0, blank is 12.
Src\FSM\States\Hero_SwordMan\State_TripleSlash.lua, code is 149, comment is 0, blank is 46.
Src\FSM\States\Hero_SwordMan\State_UpperSlash.lua, code is 53, comment is 0, blank is 15.
Src\FSM\States\Monster_Goblin\State_Attack.lua, code is 22, comment is 0, blank is 7.
Src\FSM\States\Monster_Goblin\State_Damage.lua, code is 141, comment is 0, blank is 24.
Src\FSM\States\Monster_Goblin\State_Move.lua, code is 107, comment is 0, blank is 25.
Src\FSM\States\Monster_Goblin\State_Sit.lua, code is 23, comment is 0, blank is 7.
Src\FSM\States\Monster_Goblin\State_Waiting.lua, code is 38, comment is 0, blank is 10.
Src\Game\AttackJudger.lua, code is 136, comment is 0, blank is 33.
Src\Game\GameCamera.lua, code is 10, comment is 0, blank is 0.
Src\Game\GameDataBoard.lua, code is 17, comment is 0, blank is 5.
Src\Game\GameManager.lua, code is 116, comment is 0, blank is 30.
Src\GUI\Interfaces\GameLoading.lua, code is 20, comment is 0, blank is 7.
Src\Heroes\BuffManager.lua, code is 41, comment is 0, blank is 13.
Src\Heroes\Hero_SwordMan.lua, code is 358, comment is 0, blank is 92.
Src\Heroes\SwordMan(NN).lua, code is 780, comment is 0, blank is 382.
Src\Heroes\Weapon.lua, code is 93, comment is 0, blank is 33.
Src\Input\Input.lua, code is 74, comment is 0, blank is 13.
Src\Input\InputHandler.lua, code is 7, comment is 0, blank is 0.
Src\Monster\Monster.lua, code is 243, comment is 0, blank is 64.
Src\Monster\MonsterSpawner.lua, code is 46, comment is 0, blank is 13.
Src\Navigation\Jumper\core\bheap.lua, code is 169, comment is 1, blank is 17.
Src\Navigation\Jumper\core\heuristics.lua, code is 128, comment is 0, blank is 12.
Src\Navigation\Jumper\core\node.lua, code is 66, comment is 0, blank is 14.
Src\Navigation\Jumper\core\path.lua, code is 136, comment is 0, blank is 15.
Src\Navigation\Jumper\grid.lua, code is 422, comment is 0, blank is 50.
Src\Navigation\Jumper\pathfinder.lua, code is 328, comment is 0, blank is 43.
Src\Navigation\Jumper\search\astar.lua, code is 90, comment is 1, blank is 16.
Src\Navigation\Jumper\search\bfs.lua, code is 26, comment is 0, blank is 7.
Src\Navigation\Jumper\search\dfs.lua, code is 26, comment is 0, blank is 7.
Src\Navigation\Jumper\search\dijkstra.lua, code is 36, comment is 0, blank is 10.
Src\Navigation\Jumper\search\jps.lua, code is 237, comment is 2, blank is 31.
Src\Navigation\Navigation.lua, code is 186, comment is 0, blank is 59.
Src\Navigation\Node.lua, code is 98, comment is 0, blank is 23.
Src\PassiveObject\AtkObj.lua, code is 160, comment is 0, blank is 37.
Src\PassiveObject\PassiveObject.lua, code is 18, comment is 0, blank is 8.
Src\PassiveObject\PassiveObjManager.lua, code is 68, comment is 0, blank is 18.
Src\Resource\ResManager.lua, code is 120, comment is 0, blank is 37.
Src\Resource\ResPack.lua, code is 93, comment is 0, blank is 36.
Src\Scene\Blocks\AniBlock.lua, code is 131, comment is 0, blank is 43.
Src\Scene\Blocks\Effect.lua, code is 40, comment is 0, blank is 20.
Src\Scene\Blocks\Obstacle.lua, code is 193, comment is 0, blank is 51.
Src\Scene\Blocks\TileBlock.lua, code is 67, comment is 0, blank is 25.
Src\Scene\EffectManager.lua, code is 34, comment is 0, blank is 18.
Src\Scene\GameScene.lua, code is 50, comment is 0, blank is 9.
Src\Scene\GameSceneMgr.lua, code is 159, comment is 0, blank is 48.
Src\Scene\Object.lua, code is 30, comment is 0, blank is 8.
Src\Scene\ObjectManager.lua, code is 84, comment is 0, blank is 17.
Src\Scene\SendPosition.lua, code is 43, comment is 0, blank is 6.
===============================================================================
